Entreprise;Annee;TCPP;CapitalPropre;PassifNonC;TActif;TPassif;PassifCourant;ActifNonC;ActifCourant;Reserves;CapitalSociale;TProdExploitation;TChargeExploitation;R_Exploitation;Res_Exsercice;ActiviteOrdinaire;Dotation;FT_Exploitation;FT_Investisement;FT_Financement;TDebut;TFin;Variation;Chiffre_Affaire;CapBoursiere
tgh;2018;219255784.0;45596114.0;26809082.0;219255784.0;173659670.0;153286189.0;53496205.0;165759579.0;-64894028.0;108000000.0;74546988.0;-73157192.0;1389796.0;-6435602.0;-6435602.0;-6828247.0;-7510919.0;1626132.0;2484210.0;5976893.0;2576316.0;-3400577.0;400581000.0;1360782699.0
tjari;2017;8496398.0;554938.0;3953897.5;8496398.0;7907795.0;3953897.5;4248199.0;4248199.0;183339.0;231115.0;67097.0;-43550.0;206459.0;140484.0;144935.0;-13202.0;-255972.0;0.0;-10456.0;380672.0;121512.0;-259160.0;485305000.0;1360782699.0
tjari;2018;9272430.0;659895.0;4287744.0;9272430.0;8575488.0;4287744.0;4636215.0;4636215.0;237367.0;263937.0;86264.0;-67109.0;238369.0;158591.0;163482.0;-13110.0;0.0;0.0;0.0;121512.0;816873.0;695361.0;17664000.0;25960000.0
tjl;2019;552749690.0;52085722.0;250331984.0;552749690.0;500663968.0;250331984.0;276374845.0;276374845.0;18285525.0;30345307.0;58799649.0;-10427262.0;3907777.0;3454890.0;3528793.0;-468932.0;52029423.0;0.0;0.0;6772096.0;19468404.0;12696308.0;42679000.0;99836484000.0
tlnet;2019;49517880.0;28919209.0;2563074.0;49517880.0;20598671.0;17616601.0;16420870.0;33097010.0;11890382.0;12130800.0;43806288.0;2127651.0;7108784.0;4378526.0;4596615.0;1302914.0;5282136.0;-1695882.0;-7755046.0;12950081.0;8781288.0;-4168792.0;132559000.0;2212278000.0
tls;2017_0;2289851225.0;327166055.0;981342585.0;2289851225.0;1962685170.0;981342585.0;1144925612.5;1144925612.5;116033172.0;199265866.0;245427353.0;-83464469.0;13165907.0;11867017.0;11867017.0;-5609698.0;-71842950.0;-96529148.0;165068867.0;-10515313.0;-16817783.0;-6302470.0;127497000.0;217000000.0
tpr;2016_0;185638155.0;94237747.0;18113480.0;185638155.0;89578259.0;71464779.0;53638422.0;131999734.0;34932326.0;50000000.0;128008361.0;-5856463.0;15622208.0;9317167.0;9317167.0;6462078.0;18591627.0;-6516878.0;-2605955.0;-14800815.0;-5332021.0;9468794.0;121672000.0;147000000.0
uadh;2017;122178028.0;84186476.0;19388862.0;122178028.0;37991552.0;18602690.0;83996025.0;38182003.0;740859.0;36953847.0;7495447.0;-2511729.0;6209307.0;6659829.0;6659829.0;586840.0;4130712.0;-1749826.0;-2650523.0;689626.0;419989.0;-269637.0;419497000.0;27345846.0
ubci;2017;3467815.0;541876.0;1462969.5;3467815.0;2925939.0;1462969.5;1733907.5;1733907.5;184704.0;-184704.0;263828.0;-31204.0;59110.0;541876.0;51165.0;0.0;0.0;-130077.0;0.0;-74186.0;-79507.0;-5321.0;209494000.0;469635900.0
ubci;2018;3887911.0;361663.0;1759843.5;3887911.0;3519687.0;1759843.5;1943955.5;1943955.5;210424.0;-216985.0;360847.0;-41044.0;83423.0;368224.0;55051.0;0.0;0.0;105348.0;0.0;-136941.0;244978.0;381919.0;230035000.0;469635900.0
ubci;2019;3572485.0;410806.0;1580839.5;3572485.0;3161679.0;1580839.5;1786242.5;1786242.5;249639.0;-249639.0;381121.0;-44634.0;103744.0;410806.0;57595.0;0.0;0.0;52453.0;0.0;244978.0;205189.0;-39789.0;256249000.0;469635900.0
uib;2018;6139071.0;563819.0;2786269.5;6139071.0;5572539.0;2786269.5;3069535.5;3069535.5;245297.0;172800.0;589234.0;-42913.0;170013.0;109357.0;114910.0;-9909.0;307898.0;-20687.0;-85906.0;-42741.0;158564.0;201305.0;362598000.0;533658400.0
unimed;2017;101764019.0;82622654.0;4956516.0;101764019.0;19141365.0;14184849.0;48894637.0;52869382.0;38045393.0;32000000.0;70413829.0;763560.0;15013896.0;12532575.0;12532575.0;-6993152.0;17495962.0;-13691472.0;-5671350.0;12694052.0;10827192.0;-1866860.0;70345000.0;247040000.0
unimed;2019;149607872.0;100086670.0;27204327.0;149607872.0;49521202.0;22316875.0;75568504.0;74039368.0;50377647.0;32000000.0;107247700.0;-5658094.0;28816067.0;17692251.0;17692251.0;-7170198.0;14582125.0;-18364430.0;0.0;7997245.0;3170677.0;-4826568.0;107206000.0;247040000.0
wifack;2018;629172655.0;184339984.0;222400615.0;629172655.0;444801230.0;222400615.0;314586327.5;314586327.5;21339549.0;150000000.0;41531506.0;44532906.0;-3001400.0;-1779373.0;-1768509.0;4259.0;0.0;0.0;0.0;38834043.0;0.0;0.0;25473000.0;204000000.0
mnp;2019;261465508.0;60234941.0;45107979.0;261465508.0;201230567.0;156122588.0;159637559.0;101827949.0;3993875.0;39938746.0;2569348.0;-6004168.0;4167924.0;-725189.0;-13129191.0;-13129191.0;43666044.0;-16923351.0;3417273.0;-22121559.0;8038407.0;30159966.0;636076000.0;116820826.0
oth;2018;673452021.0;336865242.0;111564759.0;673452021.0;303109994.0;191545235.0;214445149.0;459006872.0;141580702.0;53600000.0;840657304.0;-775498944.0;65158360.0;57325333.0;72595877.0;-25854534.0;18894942.0;-40776885.0;29121164.0;37821740.0;45016421.0;7194681.0;838680000.0;627120000.0
oth;2019;669081247.0;339832081.0;91195465.0;669081247.0;290591884.0;199396419.0;216208672.0;452872575.0;196264400.0;53600000.0;900042503.0;-852227690.0;47814813.0;22734112.0;36185431.0;-29716341.0;61044931.0;-30253892.0;-28623783.0;45016421.0;47230138.0;2213717.0;898083000.0;627120000.0
cc;2020;844574947.0;135979012.0;410594471.0;844574947.0;708595935.0;298001464.0;613560930.0;231014017.0;588801.0;343624940.0;267482104.0;207884108.0;59597996.0;19364586.0;19953699.0;41114407.0;19873878.0;-5893894.0;42671021.0;-60399460.0;-3748455.0;56651005.0;252976000.0;780028613.0
cell;2020;37360738.0;8325613.0;965162.0;37360738.0;29035125.0;28069963.0;1006347.0;36354391.0;5501813.0;4461532.0;41294520.0;41395092.0;-100572.0;-1654888.0;-1666888.0;2316735.0;103469.0;-673165.0;-1990191.0;125750.0;-2434137.0;-2559888.0;53100000.0;23199966.0
aetec;2019;4682115.0;5085807.0;1280382.0;4682115.0;9767921.0;8487539.0;357268.0;4324846.0;164000.0;2223334.0;7174804.0;7137033.0;37770.0;226281.0;226281.0;415260.0;90374.0;5316.0;161599.0;1627712.0;1561803.0;65909.0;7134000.0;1000500.0
aetec;2018;7688829.0;4859526.0;984316.0;7688829.0;12548354.0;11564038.0;599478.0;70893500.0;164000.0;2223334.0;10020496.0;11695221.0;1674724.0;2287178.0;2287178.0;568939.0;2223956.0;40911.0;751566.0;3141014.0;1627712.0;1513301.0;9981000.0;1000500.0
tinv;2019;7101264.0;4997816.0;1753054.0;7101264.0;2103448.0;350394.0;4307976.0;2793288.0;483000.0;966000.0;394876.0;114795.0;280081.0;278991.0;278991.0;0.0;366107.0;20000.0;483000.0;97108.0;215.0;96893.0;395000.0;0.0
tgh;2017;152987642.0;114275188.0;7221891.0;152987642.0;38712454.0;31490563.0;114456032.0;38531610.0;614722.0;108000000.0;2636372.0;-1439441.0;1196931.0;584686.0;584686.0;330617.0;-1581381.0;-70738.0;-777004.0;22300688.0;19871565.0;-2429123.0;99389000.0;81000000.0
sam;2018;20932256.0;10064174.0;2358998.0;20932556.0;10868082.0;8509084.0;8487372.0;12444884.0;1267584.0;4634696.0;19445186.0;17077250.0;2367936.0;2041336.0;2444532.0;960242.0;2085437.0;-190727.0;-1759141.0;414985.0;550554.0;135569.0;21320000.0;81000000.0
gif;2018;21903111.0;8255875.0;1659742.0;21903111.0;13647235.0;11987493.0;6254562.0;15648548.0;751916.0;10563994.0;14052485.0;15420675.0;-1368190.0;-2278946.0;-2279172.0;1861948.0;-329156.0;-114498.0;26392.0;-1118235.0;-1187953.0;-96719.0;13943000.0;8028635.0
bh;2018;11911898.0;867345.0;5522276.5;11911898.0;11044553.0;5522276.5;5955949.0;5955949.0;136310.0;238000.0;984034.0;528339.0;203518.0;136310.0;1444735.0;70986.0;99429.0;7462.0;225710.0;814578.0;642324.0;172254.0;494232000.0;448868000.0
bh;2017;9988038.0;758992.0;4614523.0;9988038.0;9229046.0;4614523.0;4994019.0;4994019.0;115528.0;238000.0;722076.0;334690.0;175623.0;115528.0;123058.0;45626.0;462939.0;3860.0;268179.0;651788.0;814578.0;268179.0;387265000.0;448868000.0
sam;2019;20067021.0;11297900.0;2229284.0;20067021.0;8768934.0;6539650.0;7428300.0;12638721.0;1267682.0;4634696.0;24564283.0;21881809.0;2682474.0;1814450.0;2320428.0;1085758.0;2131496.0;-509876.0;-2031042.0;1367497.0;967988.0;-408509.0;24405000.0;81000000.0
icf;2018;148496715.0;109920660.0;6574540.0;148496715.0;38576055.0;32001515.0;56062408.0;92434307.0;36859433.0;21000000.0;2245085.0;-4884402.0;36043753.0;38576899.0;38576899.0;0.0;12327249.0;-2291297.0;-13689940.0;24546423.0;25102463.0;556040.0;185019000.0;136500000.0
sotumag;2019;31734976.0;26438622.0;318962.0;31734976.0;5296354.0;4977392.0;12795235.0;18939741.0;6586772.0;13200000.0;14100030.0;9704865.0;4395165.0;4705105.0;4705105.0;1348646.0;6726935.0;-170519.0;-1593384.0;12706545.0;17669577.0;4963032.0;14079000.0;41580000.0
servi;2018;48409544.0;-32807429.0;21004866.0;48409544.0;81216973.0;60212107.0;10988266.0;37421278.0;-10962521.0;11874000.0;20634380.0;78731937.0;-58097557.0;-66147975.0;-66147975.0;47240997.0;-2783448.0;2444754.0;5434550.0;-23194402.0;-18098546.0;5095856.0;20634000.0;24579180.0
ab;2020;8805266.0;1053454.0;-723029.0;8805266.0;7751812.0;-248655.0;381476.0;193384.0;844595.0;132405.0;426570.0;-240660.0;54202.0;38940.0;51504.0;-4458.0;19832.0;-26335.0;-148780.0;-152438.0;-307721.0;-155283.0;395028000.0;628923750.0
adwya;2020;129809007.0;39308689.0;17828125.0;129809007.0;90500318.0;72672193.0;42360427.0;87448580.0;16684164.0;21528000.0;60019233.0;-55025867.0;4993366.0;1002505.0;1002505.0;-5684269.0;-2476253.0;-2651003.0;4227638.0;-2979551.0;-3879169.0;-889618.0;97676000.0;100320480.0
ams;2015;64654264.0;8995124.0;6137735.0;64654264.0;55659140.0;49521405.0;17838832.0;46815432.0;5000000.0;26828020.0;26457718.0;32410777.0;-5953059.0;-6594795.0;-6594795.0;5253852.0;-7016229.0;-606100.0;6529484.0;-6588050.0;-7680895.0;-1092845.0;25361000.0;5261753.0
al;2017;85856372.0;50209321.0;14387669.0;85856372.0;35647051.0;21259382.0;31731960.0;54124412.0;3658172.0;36476100.0;656047.0;-4106108.0;12702805.0;9207445.0;9207445.0;6832370.0;11857056.0;-3082052.0;-7729292.0;4359705.0;5760809.0;1401104.0;80461000.0;88872626.0
al;2018;95999314.0;43403838.0;11736898.0;95999314.0;40243819.0;28506921.0;29507214.0;66492100.0;3647610.0;37691950.0;237808.0;-3838709.0;14282898.0;12351657.0;12351657.0;6267613.0;9833229.0;-698172.0;-5984475.0;5760809.0;9307143.0;3546334.0;91437000.0;88872626.0
mag;2017;600850030.0;5766857.0;170065296.0;600850030.0;592878642.0;422813346.0;252763613.0;348086418.0;-15700723.0;11481250.0;993995462.0;-960931440.0;33064023.0;10415113.0;10415113.0;33527747.0;23688857.0;-24752347.0;8712379.0;-69451333.0;-61802444.0;7648889.0;952705000.0;202758875.0
mag;2018;696668453.0;-2763369.0;164987042.0;696668453.0;696890466.0;531903424.0;281338634.0;415329819.0;-16855001.0;11481250.0;3392836.0;-28103010.0;31568925.0;3054207.0;3054207.0;-38073308.0;50716433.0;-52991657.0;-31478339.0;-61802443.0;-95556007.0;-33753564.0;1004311000.0;202758875.0
mag;2019;724388443.0;-18874508.0;187143473.0;724388443.0;743262951.0;556119478.0;296561337.0;427827106.0;-18397777.0;11481250.0;4134015.0;-43810995.0;29157767.0;-13265343.0;-13265343.0;-35271610.0;17648607.0;-43685014.0;-1435420.0;-95556006.0;-123027833.0;-27471827.0;1056985000.0;202758875.0
icf;2019;155697169.0;115920272.0;4424664.0;155697169.0;39776897.0;35352233.0;56452955.0;99244214.0;36859433.0;21000000.0;3094636.0;-4669537.0;21999834.0;23195543.0;23195543.0;0.0;23284273.0;-1464207.0;-23545544.0;25102463.0;21762524.0;-3339939.0;187995000.0;136500000.0
nakl;2019;320642195.0;141475094.0;11321512.0;320642195.0;179165333.0;157802479.0;138956480.0;181685715.0;87208769.0;30000000.0;967119.0;2594827.0;39105600.0;24266325.0;37070967.0;5071516.0;28230492.0;-8396141.0;-22865277.0;18716203.0;15515158.0;-3201045.0;408700000000.0;0.0
hl;2017;854325187.0;74198678.0;390057298.0;854325187.0;780114596.0;390057298.0;427162593.5;427162593.5;5783659.0;40180000.0;26469467.0;11540546.0;11918134.0;8514198.0;8514198.0;2862275.0;-136783137.0;-7546950.0;130675543.0;2699150.0;-10955093.0;-13654243.0;26469000.0;35090000.0
sam;2018;20932256.0;10064174.0;2358998.0;20932256.0;10868082.0;8509084.0;8487372.0;12444884.0;1267584.0;4634696.0;19445186.0;17077250.0;236936.0;2041336.0;2444532.0;960242.0;2085437.0;-190727.0;-1759141.0;414985.0;550554.0;135569.0;21320000.0;81000000.0
sfbt;2018;1459330027.0;920697517.0;181056435.0;1459330027.0;538632510.0;357576075.0;652620777.0;806709250.0;517588158.0;165000000.0;1142490120.0;917965106.0;224525014.0;177291126.0;185435771.0;80016513.0;230408845.0;-81478488.0;-103496223.0;80331492.0;125765626.0;45434134.0;1131356000.0;4561425000.0
spdit;2019;73059160.0;70645456.0;0.0;73059160.0;2413705.0;2413705.0;12548320.0;60510841.0;1777162.0;28000000.0;25334892.0;2482770.0;22852122.0;21924521.0;21974662.0;61191.0;22259041.0;-578603.0;-16800000.0;200824.0;5081261.0;4880437.0;1698000.0;229600000.0
hl;2018;843450749.0;73601514.0;384924617.5;843450749.0;769849235.0;384924617.5;421725374.5;421725374.5;6594530.0;40180000.0;18463372.0;12123132.0;6340240.0;4548039.0;4729855.0;2398290.0;-57104197.0;-4458660.0;55130462.0;-10989692.0;-17422087.0;-6432395.0;21974000.0;35090000.0
hl;2019;736275823.0;73815449.0;331221037.0;736275823.0;662442074.0;331221037.0;368137911.5;368137911.5;8575590.0;40180000.0;18180171.0;12375755.0;821602.0;656870.0;172643.0;4457633.0;159407376.0;-13121489.0;-128883478.0;-17610255.0;-207845.0;17402410.0;18180000.0;35090000.0
nbl;2019;12605631.0;10591576.0;10591576.0;12605631.0;676322.0;676322.0;1521462.0;11084169.0;1847329.0;4250400.0;5848302.0;4099926.0;1748376.0;1337733.0;1684311.0;152225.0;1312206.0;2234150.0;-2568966.0;5079748.0;6057138.0;977390.0;1067701000.0;21599760.0
star;2017;1142902833.0;327883395.0;805161882.0;111269011.0;815019438.0;9857556.0;55634505.5;67566555.0;15904621.0;23076930.0;340922379.0;1831417.0;339090962.0;7048489.0;11537104.0;104735645.0;6531843.0;16681430.0;-6190036.0;57863485.0;28460176.0;-29403309.0;27649367000.0;281538546.0
star;2016;103184672.0;326905208.0;694984572.0;103184672.0;704941518.0;9956946.0;51592336.0;67566555.0;150627592.0;23076930.0;316891425.0;1831417.0;315060008.0;15505861.0;19772272.0;81201743.0;53687007.0;-9956742.0;-21089004.0;35222224.0;57863485.0;22641261.0;1067701000.0;281538546.0
siame;2018;68961628.0;27924920.0;2615006.0;68961628.0;40404513.0;37789507.0;14046439.0;54915189.0;11149495.0;14040000.0;59321751.0;588605915.0;4611595.0;2267897.0;2267897.0;-2704611.0;-526820.0;-2857744.0;2242834.0;-1334834.0;-2476564.0;-1141730.0;58351000.0;60372000.0
